Index,CH_Id,PHA_LG
1,14,1558
1,16,1726
1,17,8191
1,18,2414
2,10,2234
2,16,1278
2,17,4266
2,18,2310
3,12,2922
3,16,1433
3,17,4013
3,18,1655
4,13,5266
4,16,1996
4,17,8191
4,18,2490
5,14,1813
5,16,2090
5,17,5563
5,18,1162
6,15,1174
6,16,1773
6,17,7034
6,18,1879
7,15,2220
7,16,2787
7,17,3728
7,18,1136
8,14,2089
8,16,2421
8,17,4537
8,18,1221
9,10,2024
9,16,1784
9,17,3790
9,18,2087
10,11,2632
10,16,1908
10,17,7725
10,18,2999
11,12,2074
11,16,1126
11,17,3931
11,18,2028
12,13,2384
12,16,2610
12,17,8191
12,18,2622
13,10,1275
13,16,1913
13,17,4784
13,18,2604
14,12,995
14,16,1577
14,17,5976
14,18,2182
15,7,2362
15,16,1365
15,17,2904
15,18,2942
16,11,2084
16,16,1433
16,17,8045
16,18,3364
17,15,1559
17,16,2232
17,17,5711
17,18,1361
18,2,2329
18,16,1633
18,17,1966
18,18,4613
19,14,2650
19,16,2851
19,17,6145
19,18,1253
20,12,2041
20,16,1410
20,17,4986
20,18,1658
21,10,1310
21,16,1248
21,17,4417
21,18,1775
22,14,2013
22,16,1856
22,17,5107
22,18,1503
23,7,3398
23,16,1282
23,17,2975
23,18,1633
24,12,2088
24,16,1486
24,17,3807
24,18,1240
25,15,1356
25,16,3392
25,17,8048
25,18,1256
26,10,2387
26,16,1609
26,17,4820
26,18,2380
27,9,1820
27,16,1235
27,17,4185
27,18,2808
28,15,2330
28,16,1552
28,17,6733
28,18,1759
29,13,1692
29,16,1920
29,17,4258
29,18,1288
30,14,1454
30,16,1490
30,17,5547
30,18,1512
31,13,1526
31,16,2114
31,17,5069
31,18,1995
32,13,1580
32,16,1578
32,17,4247
32,18,1533
33,12,1220
33,16,1473
33,17,3951
33,18,1349
34,12,1555
34,16,1462
34,17,6420
34,18,2588
35,14,1031
35,16,3182
35,17,4660
35,18,1414
36,15,1792
36,16,3195
36,17,5766
36,18,1556
37,14,2026
37,16,2291
37,17,6517
37,18,1751
38,13,2452
38,16,2765
38,17,3731
38,18,1134
39,13,2910
39,16,1959
39,17,3711
39,18,1910
40,11,2195
40,16,1470
40,17,3598
40,18,1732
41,11,2081
41,16,1158
41,17,4407
41,18,1554
42,12,1500
42,16,1153
42,17,4015
42,18,1578
43,10,1459
43,16,2579
43,17,4881
43,18,2544
44,13,2518
44,16,1341
44,17,5059
44,18,1714
45,11,1512
45,16,1178
45,17,2490
45,18,1346
46,11,3046
46,16,1196
46,17,4023
46,18,1403
47,13,1363
47,16,2439
47,17,5084
47,18,2447
48,13,2429
48,16,2431
48,17,4404
48,18,1374
49,12,2141
49,16,1660
49,17,5749
49,18,1743
50,13,1600
50,16,1530
50,17,4097
50,18,1082
51,11,2595
51,16,1204
51,17,3983
51,18,1846
52,13,2159
52,16,1402
52,17,3584
52,18,1651
53,14,1081
53,16,1918
53,17,6357
53,18,1953
54,14,2038
54,16,3715
54,17,6667
54,18,1140
55,2,3705
55,16,1600
55,17,1399
55,18,3547
56,8,1199
56,16,1385
56,17,2249
56,18,2609
57,14,1358
57,16,2694
57,17,5129
57,18,1253
58,13,1839
58,16,1859
58,17,3840
58,18,1149
59,12,2346
59,16,1714
59,17,4235
59,18,1814
60,2,2378
60,16,1092
60,17,1134
60,18,3315
61,9,2844
61,16,1217
61,17,3097
61,18,2192
62,15,2275
62,16,3073
62,17,6683
62,18,1419
63,13,1944
63,16,3392
63,17,8191
63,18,2279
64,13,1789
64,16,2815
64,17,3448
64,18,1788
65,5,1967
65,16,1401
65,17,2077
65,18,3135
66,14,1238
66,16,4432
66,17,5089
66,18,1367
67,14,1188
67,16,2260
67,17,7622
67,18,2453
68,11,1909
68,16,1088
68,17,3457
68,18,1698
69,12,1939
69,16,1411
69,17,4129
69,18,1485
70,14,1553
70,16,2127
70,17,5963
70,18,1643
71,7,2718
71,16,1173
71,17,3098
71,18,3117
72,9,2443
72,16,1869
72,17,2824
72,18,1932
73,11,1441
73,16,1694
73,17,4122
73,18,1937
74,14,1264
74,16,2370
74,17,8191
74,18,2051
75,11,2625
75,16,1343
75,17,4886
75,18,2056
76,13,1899
76,16,1546
76,17,5238
76,18,1106
77,11,2200
77,16,1160
77,17,3934
77,18,1342
78,12,1551
78,16,1412
78,17,2980
78,18,1385
79,13,1350
79,16,3567
79,17,6210
79,18,1859
80,13,1537
80,16,1693
80,17,3966
80,18,1470
81,14,1251
81,16,5199
81,17,5023
81,18,1479
82,15,2170
82,16,4808
82,17,7528
82,18,1075
83,14,1501
83,16,2890
83,17,4189
83,18,1247
84,10,1152
84,16,2036
84,17,4049
84,18,2295
85,10,2091
85,16,1691
85,17,6707
85,18,3356
86,13,1250
86,16,1637
86,17,4350
86,18,1349
87,13,1427
87,16,4191
87,17,5211
87,18,2253
88,12,1743
88,16,1261
88,17,3367
88,18,1416
89,11,2102
89,16,1760
89,17,5898
89,18,3262
90,1,2293
90,16,1537
90,17,1128
90,18,3709
91,2,4575
91,16,1279
91,17,1480
91,18,3746
92,14,2844
92,16,2019
92,17,4553
92,18,1146
93,14,1841
93,16,1814
93,17,6037
93,18,1902
94,8,2595
94,16,1410
94,17,3552
94,18,4111
95,14,2158
95,16,2972
95,17,5316
95,18,1477
96,14,2445
96,16,2773
96,17,5939
96,18,1420
97,11,2206
97,16,2058
97,17,4343
97,18,1661
98,13,1595
98,16,3458
98,17,5340
98,18,1800
99,11,1037
99,16,1966
99,17,5948
99,18,2358
100,13,1157
100,16,1980
100,17,7205
100,18,1933
101,2,8144
101,16,2525
101,17,6058
101,18,8191
102,15,1441
102,16,2878
102,17,6629
102,18,1286
103,14,1419
103,16,2454
103,17,3590
103,18,1242
104,10,1524
104,16,2098
104,17,2656
104,18,1413
105,14,1909
105,16,3020
105,17,5283
105,18,2058
106,6,2366
106,16,1275
106,17,2377
106,18,2273
107,12,1590
107,16,1428
107,17,3856
107,18,1685
108,14,2568
108,16,2625
108,17,5675
108,18,1713
109,13,1635
109,16,2591
109,17,8094
109,18,3126
110,11,2927
110,16,2153
110,17,5111
110,18,1955
111,6,2926
111,16,1929
111,17,1614
111,18,1158
112,13,1771
112,16,1301
112,17,6477
112,18,2357
113,14,1913
113,16,1740
113,17,5190
113,18,1405
114,14,3189
114,16,2829
114,17,5571
114,18,1560
115,13,1615
115,16,1706
115,17,4007
115,18,1480
116,11,2671
116,16,1977
116,17,1845
116,18,1107
117,14,1708
117,16,2161
117,17,6039
117,18,1478
118,13,1871
118,16,1902
118,17,4578
118,18,1577
119,9,1628
119,16,1346
119,17,4219
119,18,3375
120,13,2114
120,16,1691
120,17,7491
120,18,1886
121,12,2366
121,16,2902
121,17,2307
121,18,1132
122,12,1202
122,16,1167
122,17,4308
122,18,1399
123,12,1709
123,16,1485
123,17,3569
123,18,1311
124,14,1346
124,16,2455
124,17,7780
124,18,1956
125,11,1668
125,16,1140
125,17,3433
125,18,1868
126,11,2414
126,16,1196
126,17,4031
126,18,1703
127,10,4407
127,16,1687
127,17,4147
127,18,2897
128,14,1440
128,16,2108
128,17,3796
128,18,1331
129,13,1565
129,16,2031
129,17,6863
129,18,1917
130,14,1853
130,16,2344
130,17,4693
130,18,1288
131,14,1823
131,16,2615
131,17,7330
131,18,1846
132,11,1543
132,16,1252
132,17,3866
132,18,2254
133,12,1401
133,16,1148
133,17,7557
133,18,2392
134,7,1845
134,16,1179
134,17,3112
134,18,2616
135,2,3077
135,16,1717
135,17,1194
135,18,2932
136,8,1535
136,16,1412
136,17,2263
136,18,2254
137,7,1821
137,16,1212
137,17,1558
137,18,1482
138,11,1613
138,16,1274
138,17,4446
138,18,1771
139,14,1578
139,16,2052
139,17,3901
139,18,1502
140,7,2764
140,16,1190
140,17,3586
140,18,2503
141,12,1092
141,16,1646
141,17,4625
141,18,1837
142,9,1287
142,16,2065
142,17,3041
142,18,1693
143,14,1889
143,16,2023
143,17,7659
143,18,1808
144,10,1450
144,16,1311
144,17,3736
144,18,1965
145,14,1912
145,16,1928
145,17,6476
145,18,1272
146,14,1553
146,16,2471
146,17,5625
146,18,2087
147,14,3227
147,16,1576
147,17,4904
147,18,1253
148,5,2959
148,16,1425
148,17,4098
148,18,6611
149,14,1750
149,16,5628
149,17,8191
149,18,2069
150,12,1547
150,16,1864
150,17,3749
150,18,1134
151,13,1431
151,16,2204
151,17,3827
151,18,1131
152,7,2293
152,16,1541
152,17,2433
152,18,2641
153,12,1695
153,16,1561
153,17,4120
153,18,1385
154,13,2936
154,16,3610
154,17,5026
154,18,1410
155,13,1004
155,16,1391
155,17,4548
155,18,1348
156,12,1626
156,16,1388
156,17,4627
156,18,1968
157,12,1794
157,16,1163
157,17,3595
157,18,1356
158,11,2485
158,16,1353
158,17,3564
158,18,2438
159,4,1929
159,16,1272
159,17,1890
159,18,3425
160,13,1052
160,16,1719
160,17,3730
160,18,1164
161,14,1333
161,16,2816
161,17,5911
161,18,1619
162,12,996
162,16,1344
162,17,5881
162,18,1977
163,7,1898
163,16,1254
163,17,2098
163,18,2317
164,1,1689
164,16,1124
164,17,1555
164,18,4390
165,3,2187
165,16,1163
165,17,1985
165,18,3850
166,15,1420
166,16,2049
166,17,6035
166,18,1201
167,15,2024
167,16,4413
167,17,6805
167,18,1850
168,10,2030
168,16,1484
168,17,3758
168,18,1607
169,8,2791
169,16,1528
169,17,6671
169,18,3743
170,14,1707
170,16,2134
170,17,6040
170,18,1471
171,13,1410
171,16,1633
171,17,4195
171,18,1368
172,14,2427
172,16,2449
172,17,3869
172,18,1314
173,13,1528
173,16,2304
173,17,4316
173,18,1298
174,8,2379
174,16,1570
174,17,2793
174,18,2269
175,13,2273
175,16,3433
175,17,8191
175,18,2209
176,11,1944
176,16,1218
176,17,3592
176,18,1472
177,2,2525
177,16,1196
177,17,1816
177,18,4828
178,13,2021
178,16,1270
178,17,4170
178,18,1202
179,14,1499
179,16,2398
179,17,4686
179,18,1133
180,13,1196
180,16,1908
180,17,3883
180,18,1190
181,14,1034
181,16,3350
181,17,6506
181,18,1600
182,12,7221
182,16,1271
182,17,5399
182,18,2099
183,10,2720
183,16,1258
183,17,4915
183,18,2100
184,11,1566
184,16,1265
184,17,4778
184,18,2590
185,11,1776
185,16,1678
185,17,3714
185,18,1701
186,11,1336
186,16,1542
186,17,7125
186,18,3056
187,12,1829
187,16,1504
187,17,4545
187,18,1534
188,12,2234
188,16,2032
188,17,4382
188,18,1428
189,13,1545
189,16,1821
189,17,3605
189,18,1228
190,13,1343
190,16,2022
190,17,5451
190,18,1404
191,15,1341
191,16,3182
191,17,4250
191,18,1157
192,15,2085
192,16,4002
192,17,7261
192,18,1173
193,14,1693
193,16,2020
193,17,5129
193,18,1283
194,15,2303
194,16,3811
194,17,5848
194,18,1236
195,13,1764
195,16,1521
195,17,3697
195,18,1116
196,13,3600
196,16,4365
196,17,4119
196,18,1136
197,13,1057
197,16,1760
197,17,4702
197,18,1472
198,11,2404
198,16,1231
198,17,3153
198,18,1463
199,13,2004
199,16,1710
199,17,5294
199,18,1899
200,14,3515
200,16,4280
200,17,4572
200,18,1123
201,12,2658
201,16,1369
201,17,4429
201,18,1473
202,14,1731
202,16,2467
202,17,4992
202,18,1674
203,8,2711
203,16,1080
203,17,2338
203,18,2374
204,12,1417
204,16,1349
204,17,3403
204,18,1276
205,13,2493
205,16,2641
205,17,5805
205,18,2270
206,15,1816
206,16,3183
206,17,5003
206,18,1598
207,6,2891
207,16,1171
207,17,2809
207,18,3518
208,14,4662
208,16,1180
208,17,8191
208,18,2620
209,8,1910
209,16,1390
209,17,3248
209,18,2707
210,14,2019
210,16,1671
210,17,4154
210,18,1302
211,12,1210
211,16,1266
211,17,4510
211,18,1735
212,14,1215
212,16,1817
212,17,5311
212,18,1266
213,12,2199
213,16,1492
213,17,3260
213,18,1243
214,7,3952
214,16,1312
214,17,5181
214,18,5069
215,12,988
215,16,1175
215,17,4981
215,18,1862
216,12,2124
216,16,1871
216,17,5466
216,18,2165
217,11,3152
217,16,1284
217,17,3707
217,18,1580
218,5,2906
218,16,1268
218,17,4767
218,18,6415
219,14,3167
219,16,2646
219,17,8191
219,18,2702
220,12,2680
220,16,1533
220,17,3659
220,18,1598
221,11,2471
221,16,1668
221,17,5194
221,18,2046
222,3,2542
222,16,1588
222,17,2486
222,18,4290
223,14,1864
223,16,2544
223,17,5022
223,18,1138
224,11,4853
224,16,1416
224,17,3257
224,18,1804
225,14,1213
225,16,3014
225,17,5118
225,18,1695
226,7,1881
226,16,1125
226,17,4699
226,18,3293
227,11,2037
227,16,1350
227,17,4421
227,18,2201
228,11,1356
228,16,1392
228,17,4605
228,18,2539
229,13,1271
229,16,1308
229,17,4927
229,18,1344
230,14,1372
230,16,3151
230,17,5847
230,18,1293
231,14,2717
231,16,1667
231,17,5947
231,18,1179
232,13,1629
232,16,1898
232,17,8102
232,18,2315
233,8,2392
233,16,1285
233,17,2912
233,18,1845
234,9,1182
234,16,1190
234,17,2757
234,18,2196
235,15,2053
235,16,3090
235,17,6043
235,18,1216
236,10,2664
236,16,1351
236,17,3274
236,18,1767
237,8,2873
237,16,1351
237,17,3130
237,18,3183
238,12,2126
238,16,2265
238,17,5844
238,18,2732
239,13,1759
239,16,1467
239,17,3429
239,18,1284
240,2,1085
240,16,1137
240,17,1054
240,18,3110
241,13,1424
241,16,1784
241,17,3810
241,18,1322
242,5,2886
242,16,1517
242,17,1292
242,18,2721
243,11,2411
243,16,1729
243,17,6560
243,18,2966
244,10,2121
244,16,1214
244,17,5400
244,18,3690
245,11,1001
245,16,1357
245,17,3740
245,18,1685
246,13,1594
246,16,1109
246,17,5858
246,18,1548
247,14,1983
247,16,2252
247,17,5280
247,18,1676
248,14,1347
248,16,2305
248,17,4575
248,18,1370
249,8,4283
249,16,1489
249,17,4777
249,18,3039
250,12,4265
250,16,2691
250,17,5965
250,18,3280
251,14,1871
251,16,1573
251,17,5095
251,18,1417
252,10,2210
252,16,1332
252,17,4001
252,18,1464
253,15,2248
253,16,3135
253,17,5388
253,18,1856
254,11,1465
254,16,1760
254,17,7138
254,18,2827
255,13,2083
255,16,1604
255,17,2305
255,18,1132
256,13,4025
256,16,1177
256,17,6023
256,18,2751
257,10,2046
257,16,1236
257,17,3907
257,18,2279
258,15,2136
258,16,6511
258,17,7382
258,18,1817
259,6,1827
259,16,1308
259,17,2212
259,18,3935
260,5,3855
260,16,1544
260,17,4179
260,18,5800
261,10,1130
261,16,1411
261,17,2925
261,18,1325
262,12,1447
262,16,1406
262,17,4407
262,18,1604
263,14,1965
263,16,2256
263,17,4084
263,18,1340
264,13,1394
264,16,2426
264,17,4617
264,18,1280
265,15,1901
265,16,4144
265,17,5598
265,18,1222
266,8,4157
266,16,1583
266,17,2006
266,18,2229
267,0,1371
267,16,1702
267,17,1297
267,18,4234
268,2,2199
268,16,1108
268,17,1935
268,18,4478
269,14,1705
269,16,2320
269,17,3632
269,18,1086
270,14,2717
270,16,2553
270,17,5034
270,18,1130
271,13,1495
271,16,1619
271,17,5415
271,18,1903
272,12,2439
272,16,2777
272,17,4482
272,18,1875
273,14,1296
273,16,2442
273,17,4513
273,18,1385
274,8,1928
274,16,1149
274,17,1588
274,18,1476
275,11,3055
275,16,1540
275,17,7563
275,18,2434
276,13,1207
276,16,2211
276,17,5688
276,18,1710
277,10,1990
277,16,1359
277,17,3869
277,18,1910
278,12,3878
278,16,2735
278,17,8191
278,18,3229
279,11,2176
279,16,1161
279,17,3177
279,18,1999
280,14,2732
280,16,4221
280,17,4289
280,18,1283
281,13,2193
281,16,1835
281,17,6328
281,18,2069
282,11,1699
282,16,1137
282,17,4967
282,18,1603
283,14,2125
283,16,2968
283,17,5995
283,18,1326
284,11,2011
284,16,1183
284,17,3301
284,18,1460
285,15,1657
285,16,3933
285,17,6033
285,18,1251
286,14,1652
286,16,2309
286,17,4768
286,18,1468
287,12,3102
287,16,1427
287,17,3814
287,18,1693
288,14,2067
288,16,1927
288,17,6021
288,18,1173
289,5,3019
289,16,1127
289,17,2389
289,18,2351
290,10,2376
290,16,1352
290,17,3383
290,18,1748
291,14,1693
291,16,2327
291,17,4778
291,18,1686
292,5,3993
292,16,1787
292,17,3703
292,18,4437
293,12,2204
293,16,1160
293,17,5663
293,18,1770
294,14,1605
294,16,4524
294,17,5445
294,18,1542
295,13,2604
295,16,3853
295,17,5391
295,18,1566
296,13,4102
296,16,3249
296,17,5174
296,18,2447
297,10,1649
297,16,1634
297,17,1468
297,18,1157
298,11,1089
298,16,1956
298,17,3730
298,18,1535
299,14,1798
299,16,3054
299,17,5674
299,18,1484
300,9,2273
300,16,1336
300,17,6608
300,18,3574
301,13,3715
301,16,2431
301,17,3786
301,18,1387
302,12,1746
302,16,2655
302,17,3174
302,18,1185
303,14,1312
303,16,2178
303,17,5245
303,18,1304
304,13,1850
304,16,2501
304,17,5814
304,18,2138
305,13,1762
305,16,1667
305,17,4186
305,18,1483
306,14,4180
306,16,2804
306,17,8191
306,18,2570
307,9,2259
307,16,1077
307,17,4374
307,18,3276
308,10,2317
308,16,1420
308,17,4017
308,18,1526
309,15,1411
309,16,8191
309,17,7341
309,18,1510
310,14,2423
310,16,2958
310,17,4282
310,18,1414
311,13,1800
311,16,2274
311,17,6142
311,18,1607
312,14,1621
312,16,5149
312,17,4082
312,18,1457
313,11,2376
313,16,1357
313,17,4298
313,18,2139
314,13,3839
314,16,4955
314,17,8191
314,18,4494
315,12,1886
315,16,1464
315,17,4009
315,18,1589
316,3,2848
316,16,1129
316,17,1584
316,18,3388
317,12,3709
317,16,1209
317,17,4314
317,18,1501
318,8,2041
318,16,1168
318,17,3728
318,18,2712
319,15,2483
319,16,2498
319,17,8191
319,18,2435
320,12,2756
320,16,1931
320,17,3972
320,18,1451
321,10,3045
321,16,1776
321,17,4268
321,18,2331
322,13,2469
322,16,2083
322,17,4235
322,18,1726
323,14,1606
323,16,3087
323,17,5482
323,18,1354
324,2,2576
324,16,1198
324,17,2012
324,18,5738
325,14,1832
325,16,2276
325,17,5641
325,18,1687
326,7,3179
326,16,2204
326,17,3430
326,18,4443
327,12,1848
327,16,1300
327,17,4094
327,18,1851
328,10,1949
328,16,1824
328,17,3193
328,18,1625
329,14,3775
329,16,5344
329,17,8191
329,18,2383
330,1,1475
330,16,1457
330,17,1675
330,18,5650
331,13,1459
331,16,1581
331,17,4645
331,18,1267
332,9,3843
332,16,1637
332,17,3432
332,18,1830
333,15,2241
333,16,3949
333,17,8191
333,18,1908
334,8,1410
334,16,1144
334,17,2957
334,18,1779
335,12,1903
335,16,1772
335,17,3956
335,18,1820
336,13,2015
336,16,1543
336,17,4459
336,18,1392
337,13,2019
337,16,1704
337,17,5461
337,18,1553
338,2,4183
338,16,1225
338,17,1143
338,18,3417
339,14,1881
339,16,2354
339,17,5719
339,18,1547
340,13,1644
340,16,1853
340,17,4629
340,18,1144
341,13,1317
341,16,1286
341,17,5383
341,18,1530
342,8,2211
342,16,1260
342,17,1355
342,18,1286
343,6,1470
343,16,1158
343,17,2354
343,18,3233
344,13,1905
344,16,1302
344,17,4539
344,18,1356
345,1,2918
345,16,1353
345,17,1388
345,18,3625
346,14,3881
346,16,3128
346,17,7717
346,18,1409
347,12,1837
347,16,1456
347,17,3967
347,18,1504
348,14,1983
348,16,1888
348,17,4797
348,18,1473
349,11,4342
349,16,1460
349,17,4191
349,18,2182
350,9,6214
350,16,1254
350,17,8191
350,18,4217
351,15,1528
351,16,3048
351,17,7924
351,18,2242
352,10,2151
352,16,1335
352,17,3838
352,18,1714
353,13,1647
353,16,2828
353,17,7287
353,18,1884
354,10,1068
354,16,1448
354,17,2433
354,18,1207
355,10,2432
355,16,1875
355,17,3863
355,18,2117
356,13,1199
356,16,1462
356,17,6329
356,18,1538
357,13,2154
357,16,1903
357,17,5039
357,18,1718
358,13,2608
358,16,1421
358,17,5814
358,18,1746
359,12,1803
359,16,1403
359,17,3934
359,18,1260
360,11,1782
360,16,1966
360,17,3951
360,18,1532
361,13,1974
361,16,1481
361,17,5184
361,18,1639
362,14,2181
362,16,2082
362,17,7306
362,18,1433
363,13,1461
363,16,1167
363,17,5244
363,18,1723
364,12,1497
364,16,1870
364,17,3682
364,18,1675
365,1,2987
365,16,1107
365,17,1096
365,18,3492
366,6,2311
366,16,1140
366,17,3672
366,18,4266
367,9,1926
367,16,1238
367,17,3521
367,18,2751
368,15,1628
368,16,3076
368,17,7389
368,18,1468
369,2,2454
369,16,1115
369,17,1327
369,18,3996
370,7,2587
370,16,1451
370,17,1336
370,18,1246
371,14,2106
371,16,3697
371,17,5209
371,18,1226
372,13,2452
372,16,1525
372,17,4536
372,18,1374
373,12,2175
373,16,1283
373,17,3579
373,18,1469
374,9,2288
374,16,2396
374,17,2777
374,18,2031
375,12,1683
375,16,1581
375,17,3588
375,18,1612
376,9,1296
376,16,1480
376,17,3645
376,18,2141
377,13,1935
377,16,2163
377,17,5838
377,18,1615
378,14,1929
378,16,2321
378,17,6229
378,18,1265
379,10,2143
379,16,1709
379,17,3041
379,18,1755
380,14,2200
380,16,1717
380,17,6055
380,18,1515
381,13,2059
381,16,3015
381,17,4331
381,18,1232
382,13,2633
382,16,1730
382,17,8191
382,18,1456
383,8,1370
383,16,1544
383,17,3198
383,18,2874
384,11,2956
384,16,1430
384,17,3021
384,18,1975
385,5,3690
385,16,1332
385,17,2580
385,18,3957
386,12,1552
386,16,1629
386,17,4453
386,18,1548
387,10,2685
387,16,1514
387,17,5277
387,18,3562
388,12,3708
388,16,1376
388,17,5264
388,18,2331
389,9,2025
389,16,1460
389,17,8071
389,18,3689
390,4,1723
390,16,1150
390,17,2501
390,18,5576
391,12,2800
391,16,2498
391,17,3951
391,18,1311
392,10,2182
392,16,1603
392,17,5026
392,18,3586
393,14,2077
393,16,3694
393,17,5928
393,18,1939
394,12,2159
394,16,1280
394,17,6535
394,18,1943
395,15,3745
395,16,6253
395,17,8191
395,18,2158
396,14,1806
396,16,1976
396,17,4922
396,18,1426
397,12,2710
397,16,2727
397,17,8084
397,18,2423
398,11,2058
398,16,1327
398,17,4059
398,18,1566
399,10,2559
399,16,1492
399,17,4507
399,18,2100
400,10,3170
400,16,1160
400,17,5072
400,18,2289
401,13,2200
401,16,1687
401,17,4555
401,18,1466
402,12,3613
402,16,2021
402,17,6869
402,18,2110
403,5,1932
403,16,1476
403,17,1297
403,18,2538
404,13,2509
404,16,1884
404,17,4765
404,18,1690
405,12,2198
405,16,1937
405,17,3460
405,18,1326
406,9,2003
406,16,1265
406,17,3030
406,18,2593
407,9,2378
407,16,2089
407,17,5480
407,18,3135
408,10,2242
408,16,1579
408,17,3640
408,18,1889
409,10,3663
409,16,1237
409,17,5448
409,18,2533
410,12,1912
410,16,1470
410,17,3358
410,18,1416
411,5,2528
411,16,1135
411,17,4140
411,18,5895
412,7,2603
412,16,2244
412,17,2430
412,18,2089
413,9,1926
413,16,1122
413,17,3472
413,18,1699
414,11,3496
414,16,1222
414,17,1344
414,18,1143
415,11,1893
415,16,1221
415,17,2963
415,18,1464
416,2,1507
416,16,1229
416,17,1222
416,18,3580
417,14,1772
417,16,1667
417,17,4490
417,18,1621
418,9,3129
418,16,1381
418,17,6006
418,18,5337
419,8,1194
419,16,1588
419,17,3690
419,18,2696
420,11,2502
420,16,2019
420,17,3453
420,18,1744
421,14,1098
421,16,2533
421,17,7012
421,18,1568
422,8,2409
422,16,1174
422,17,3067
422,18,2104
423,6,3499
423,16,1116
423,17,2624
423,18,2924
424,10,3415
424,16,1195
424,17,5943
424,18,3047
425,12,2973
425,16,1882
425,17,6284
425,18,2792
426,8,3368
426,16,1299
426,17,3675
426,18,2789
427,13,1177
427,16,1688
427,17,5025
427,18,1802
428,11,1890
428,16,1548
428,17,3060
428,18,1785
429,14,1551
429,16,3517
429,17,4771
429,18,1363
430,14,1029
430,16,1444
430,17,5039
430,18,1416
431,12,1524
431,16,1169
431,17,5211
431,18,1802
432,2,1852
432,16,1419
432,17,1805
432,18,4395
433,13,1695
433,16,1829
433,17,5055
433,18,1285
434,7,2212
434,16,1193
434,17,3024
434,18,2820
