Index,CH_Id,ToA_ns,ToT_ns
1,3,227.0,8.5
1,16,218.0,27.0
1,17,227.0,13.0
1,18,217.0,33.0
2,15,216.5,29.5
2,16,221.0,16.5
2,17,212.5,36.0
2,18,222.5,15.0
3,7,223.5,29.5
3,16,224.0,25.0
3,17,224.5,27.0
3,18,225.0,27.0
4,7,221.0,26.5
4,16,221.0,23.5
4,17,224.0,23.0
4,18,222.0,24.5
5,14,228.5,9.0
5,16,223.5,19.5
5,17,216.5,39.5
5,18,227.0,16.0
6,5,225.5,25.5
6,16,224.5,24.5
6,17,229.0,19.5
6,18,222.5,34.0
7,12,217.5,28.0
7,16,221.0,20.5
7,17,217.0,30.0
7,18,226.0,13.5
8,13,222.0,25.5
8,16,223.5,22.5
8,17,218.5,35.5
8,18,226.5,18.5
9,6,222.5,38.0
9,16,225.0,22.0
9,17,227.5,20.5
9,18,224.0,31.0
10,11,222.5,46.5
10,16,225.5,28.0
10,17,224.0,33.5
10,18,227.0,25.5
11,11,221.0,35.0
11,16,225.0,20.5
11,17,221.0,32.0
11,18,225.5,23.0
12,14,218.5,30.5
12,16,223.0,18.0
12,17,216.0,34.5
12,18,227.5,12.0
13,9,222.0,30.0
13,16,225.5,23.0
13,17,224.5,28.0
13,18,225.5,25.0
14,7,227.0,27.0
14,16,226.5,28.0
14,17,227.5,27.0
14,18,225.5,33.0
15,5,224.0,26.5
15,16,222.5,28.0
15,17,222.0,35.0
15,18,220.5,41.0
16,9,215.5,28.0
16,16,225.0,8.0
16,17,215.0,32.0
16,18,217.0,26.0
17,14,214.0,29.5
17,16,222.0,12.5
17,17,212.5,33.5
17,18,225.5,10.5
18,3,220.5,29.0
18,16,221.5,27.0
18,17,229.0,15.5
18,18,220.5,33.5
19,7,220.5,37.5
19,16,225.0,21.5
19,17,226.0,22.0
19,18,224.5,24.5
20,6,224.5,31.0
20,16,226.5,24.5
20,17,226.0,30.0
20,18,223.0,44.5
21,4,216.0,34.0
21,16,217.0,25.5
21,17,229.5,5.5
21,18,215.5,33.5
22,3,226.0,14.0
22,16,221.5,24.5
22,17,226.5,16.0
22,18,218.5,32.0
23,6,217.0,32.5
23,16,222.0,16.0
23,17,222.5,22.5
23,18,219.0,28.0
24,11,220.5,32.0
24,16,224.5,20.5
24,17,220.0,33.0
24,18,224.5,23.0
25,11,220.0,35.5
25,16,223.5,25.0
25,17,221.5,33.0
25,18,224.0,27.0
26,3,218.0,34.0
26,16,219.5,27.0
26,17,228.0,14.5
26,18,219.0,34.0
27,13,218.5,35.0
27,16,227.0,10.0
27,17,218.0,32.5
27,18,228.0,11.5
28,8,226.0,27.5
28,16,227.0,23.0
28,17,228.0,25.5
28,18,227.0,26.0
29,10,227.0,23.5
29,16,226.5,22.0
29,17,225.0,33.0
29,18,228.0,22.5
30,13,217.5,51.0
30,16,225.0,19.0
30,17,218.5,38.0
30,18,224.5,23.0
31,6,229.0,14.0
31,16,226.5,19.0
31,17,229.0,19.0
31,18,224.5,26.5
32,8,219.0,33.0
32,16,227.5,13.0
32,17,222.0,24.5
32,18,222.0,28.0
33,7,228.0,18.0
33,16,225.5,23.5
33,17,227.5,24.0
33,18,225.5,28.0
34,10,220.5,27.5
34,16,222.5,23.5
34,17,219.0,32.0
34,18,221.5,26.0
35,14,216.0,26.0
35,16,217.0,22.0
35,17,213.0,35.0
35,18,226.0,7.0
36,7,218.0,28.5
36,16,219.5,24.0
36,17,222.5,18.5
36,18,220.0,24.0
37,4,229.5,8.5
37,16,222.5,24.5
37,17,228.5,14.5
37,18,221.5,28.0
38,6,219.0,32.0
38,16,217.5,35.0
38,17,227.5,13.5
38,18,219.5,30.0
39,2,216.5,33.5
39,16,215.0,47.0
39,17,224.0,19.5
39,18,215.5,42.0
40,4,218.5,27.5
40,16,219.0,26.0
40,17,225.0,18.0
40,18,218.0,30.5
41,5,227.5,26.5
41,16,227.0,26.0
41,17,228.0,27.0
41,18,225.5,34.5
42,11,218.5,32.0
42,16,217.5,37.5
42,17,218.0,32.0
42,18,224.0,22.0
43,6,221.5,25.0
43,16,220.5,28.0
43,17,224.0,21.5
43,18,220.0,32.0
44,3,212.5,37.0
44,16,219.5,17.0
44,17,222.5,16.0
44,18,214.0,32.5
45,14,217.5,23.0
45,16,219.0,24.0
45,17,214.0,36.5
45,18,227.5,10.0
46,8,219.5,28.0
46,16,225.5,14.0
46,17,222.0,23.5
46,18,222.0,23.5
47,8,216.5,30.0
47,16,221.0,18.0
47,17,226.0,10.0
47,18,221.5,18.0
48,8,222.0,32.5
48,16,227.0,17.0
48,17,224.0,28.0
48,18,225.5,24.5
49,6,224.0,40.0
49,16,227.5,23.5
49,17,227.0,30.0
49,18,224.5,37.5
50,4,221.5,29.5
50,16,223.0,23.0
50,17,228.0,18.0
50,18,221.5,27.5
51,9,224.5,31.5
51,16,227.0,24.0
51,17,228.0,24.0
51,18,229.0,25.0
52,9,222.5,28.0
52,16,228.0,18.5
52,17,223.0,29.5
52,18,227.5,20.0
53,5,219.5,23.0
53,16,224.0,12.5
53,17,220.0,23.0
53,18,218.0,31.5
54,6,226.0,33.5
54,16,225.5,29.0
54,17,229.5,23.5
54,18,226.5,31.0
55,2,222.0,27.0
55,16,221.0,27.0
55,17,229.5,14.0
55,18,220.5,32.0
56,8,221.0,30.5
56,16,229.5,8.5
56,17,225.0,22.0
56,18,224.5,23.5
57,12,214.5,23.0
57,16,222.0,11.0
57,17,213.5,30.0
57,18,224.5,10.5
58,9,219.0,43.5
58,16,222.5,28.0
58,17,220.5,36.5
58,18,222.5,30.5
59,4,219.0,29.5
59,16,218.0,29.5
59,17,228.0,11.5
59,18,218.5,29.5
60,13,219.5,42.0
60,16,225.5,18.5
60,17,220.0,34.0
60,18,228.5,16.0
61,12,220.0,27.0
61,16,223.0,20.0
61,17,217.5,36.0
61,18,226.0,18.0
62,4,221.0,26.5
62,16,220.5,26.5
62,17,227.5,15.0
62,18,219.0,32.0
63,5,219.0,29.5
63,16,220.5,21.0
63,17,223.5,21.0
63,18,218.5,31.0
64,11,219.5,31.0
64,16,227.0,11.5
64,17,219.5,29.0
64,18,227.5,16.0
65,13,221.0,27.0
65,16,224.0,19.0
65,17,218.5,34.0
65,18,227.0,16.5
66,7,221.5,32.0
66,16,223.5,22.0
66,17,230.0,12.5
66,18,224.0,26.0
67,4,226.0,38.5
67,16,226.5,30.0
67,17,229.0,28.5
67,18,226.0,37.0
68,11,229.0,20.5
68,16,229.5,16.0
68,17,225.0,29.0
68,18,228.5,21.5
69,9,219.5,31.0
69,16,223.5,20.0
69,17,221.5,29.5
69,18,223.0,22.0
70,13,215.0,31.0
70,16,223.5,12.5
70,17,212.5,37.0
70,18,220.5,17.5
71,5,218.0,27.0
71,16,217.0,25.0
71,17,223.5,16.5
71,18,215.5,32.0
72,9,224.0,19.5
72,16,223.5,22.0
72,17,220.0,33.0
72,18,221.5,29.5
73,13,213.0,43.0
73,16,219.5,19.0
73,17,213.0,36.0
73,18,223.5,14.0
74,2,222.0,35.0
74,16,225.0,25.5
74,17,228.0,24.5
74,18,221.0,49.0
75,12,224.5,37.0
75,16,230.0,24.0
75,17,224.0,44.5
75,18,228.0,33.5
76,4,222.5,30.5
76,16,222.5,25.5
76,17,227.5,18.5
76,18,221.5,32.0
77,10,225.5,32.5
77,16,227.5,20.5
77,17,225.5,29.5
77,18,228.0,26.5
78,10,223.0,28.0
78,16,226.0,19.5
78,17,223.5,28.0
78,18,226.5,18.0
79,6,218.0,30.5
79,16,218.0,26.5
79,17,226.0,12.5
79,18,219.5,25.5
80,11,220.0,26.0
80,16,222.0,21.5
80,17,218.5,33.0
80,18,220.5,29.0
81,10,226.0,16.5
81,16,223.0,22.0
81,17,220.0,28.5
81,18,222.0,26.0
82,12,225.0,17.5
82,16,228.0,15.5
82,17,220.0,35.0
82,18,224.5,26.0
83,8,225.5,24.5
83,16,228.5,19.5
83,17,224.5,29.0
83,18,225.5,29.5
84,3,215.0,28.5
84,16,216.5,23.5
84,17,223.0,13.5
84,18,214.0,33.0
85,6,224.5,31.5
85,16,224.5,28.5
85,17,229.0,22.0
85,18,225.0,30.5
86,12,217.5,30.0
86,16,220.5,21.0
86,17,216.5,34.0
86,18,224.0,18.5
87,8,220.0,29.5
87,16,222.5,22.0
87,17,221.5,29.0
87,18,222.0,27.0
88,7,226.5,30.5
88,16,229.0,22.5
88,17,228.5,25.5
88,18,228.5,28.0
89,7,224.5,27.5
89,16,225.0,24.5
89,17,226.0,25.0
89,18,225.0,30.0
90,6,226.5,29.5
90,16,228.0,23.0
90,17,227.5,27.0
90,18,224.5,36.5
91,11,221.5,28.5
91,16,225.5,18.0
91,17,226.5,14.0
91,18,226.5,15.5
92,9,221.0,29.0
92,16,222.5,26.0
92,17,223.5,25.5
92,18,224.5,23.0
93,11,220.5,31.5
93,16,224.5,18.5
93,17,220.0,31.5
93,18,225.5,22.0
94,8,227.0,29.5
94,16,227.0,30.0
94,17,225.0,41.5
94,18,226.0,37.0
95,6,222.0,32.5
95,16,224.0,24.5
95,17,223.5,29.5
95,18,222.0,34.0
96,13,216.5,33.5
96,16,221.5,18.5
96,17,216.0,34.5
96,18,226.5,10.0
97,13,216.5,41.0
97,16,224.0,17.5
97,17,216.0,36.5
97,18,225.0,17.5
98,9,221.0,29.5
98,16,225.0,20.0
98,17,224.0,26.5
98,18,226.5,17.5
99,7,223.0,30.5
99,16,223.0,29.0
99,17,223.5,31.0
99,18,224.0,31.0
100,4,220.0,27.0
100,16,220.5,23.0
100,17,225.5,20.0
100,18,218.0,35.0
101,14,216.5,30.0
101,16,220.5,21.0
101,17,214.0,37.0
101,18,228.0,10.0
102,5,224.0,29.5
102,16,224.0,25.5
102,17,227.5,22.0
102,18,224.0,29.5
103,8,226.0,34.0
103,16,228.5,26.5
103,17,228.0,29.0
103,18,229.0,28.5
104,8,221.0,27.0
104,16,226.5,16.0
104,17,221.5,25.5
104,18,222.0,26.0
105,14,216.5,32.0
105,16,218.0,27.5
105,17,214.0,40.0
105,18,224.0,17.0
106,11,222.0,34.5
106,16,222.0,32.5
106,17,220.5,41.0
106,18,225.0,26.0
107,13,219.5,32.5
107,16,229.0,12.0
107,17,216.0,50.5
107,18,224.5,23.5
108,2,218.0,27.0
108,16,219.0,24.5
108,17,227.0,13.5
108,18,216.0,34.5
109,9,227.5,18.0
109,16,225.5,27.0
109,17,224.5,29.5
109,18,228.0,21.5
110,6,224.5,33.5
110,16,224.5,34.5
110,17,226.0,32.0
110,18,224.5,37.5
111,5,224.0,20.0
111,16,220.0,26.5
111,17,224.5,19.0
111,18,218.0,35.0
112,5,220.0,25.5
112,16,217.0,29.5
112,17,225.5,14.0
112,18,219.0,28.0
113,5,217.5,19.0
113,16,214.5,24.5
113,17,222.5,15.5
113,18,214.5,27.5
114,7,221.5,30.5
114,16,222.5,25.5
114,17,224.5,24.0
114,18,224.0,25.0
115,4,216.0,28.5
115,16,215.5,28.5
115,17,225.5,13.0
115,18,215.0,29.5
116,10,220.0,31.5
116,16,219.5,33.0
116,17,219.5,32.5
116,18,224.0,24.5
117,14,227.5,14.5
117,16,223.5,23.5
117,17,217.5,42.0
117,18,229.0,14.0
118,11,218.0,33.0
118,16,224.5,15.5
118,17,219.0,28.5
118,18,222.0,23.0
119,9,217.0,30.5
119,16,222.5,15.0
119,17,218.0,32.5
119,18,220.5,25.0
120,7,225.0,29.5
120,16,225.5,26.5
120,17,225.5,28.0
120,18,226.5,24.5
121,12,224.5,9.5
121,16,223.0,13.0
121,17,215.5,30.5
121,18,227.0,9.5
122,5,214.0,34.5
122,16,215.0,30.5
122,17,226.5,8.5
122,18,215.5,28.5
123,5,229.0,23.0
123,16,227.0,24.0
123,17,229.5,21.5
123,18,226.5,29.0
124,12,220.5,23.5
124,16,224.0,16.0
124,17,218.0,31.5
124,18,228.0,13.5
125,5,222.0,18.0
125,16,217.5,24.0
125,17,221.0,21.0
125,18,216.5,30.5
126,6,220.5,27.5
126,16,219.5,28.5
126,17,223.0,19.5
126,18,220.5,28.0
127,10,225.0,29.0
127,16,222.5,36.5
127,17,223.0,34.5
127,18,225.0,31.0
128,4,221.0,16.5
128,16,215.0,26.0
128,17,223.5,15.0
128,18,214.5,31.5
129,11,223.5,31.0
129,16,224.5,25.0
129,17,222.0,34.0
129,18,228.0,21.0
130,10,226.5,13.0
130,16,220.0,26.0
130,17,219.0,32.0
130,18,222.0,26.0
131,13,229.0,11.0
131,16,226.5,16.5
131,17,217.5,42.5
131,18,228.0,18.0
132,8,227.0,34.5
132,16,229.5,26.0
132,17,228.5,33.0
132,18,229.0,32.5
133,13,215.0,35.0
133,16,218.0,24.5
133,17,214.5,32.5
133,18,225.0,13.0
134,14,213.0,33.0
134,16,216.5,23.0
134,17,212.0,32.5
134,18,223.5,8.5
135,7,226.5,27.0
135,16,226.0,27.0
135,17,226.0,30.5
135,18,226.5,31.5
136,10,223.0,27.0
136,16,224.5,20.5
136,17,222.0,29.0
136,18,225.5,22.0
137,10,224.5,9.5
137,16,219.0,21.0
137,17,214.5,32.0
137,18,216.5,28.0
138,13,217.0,47.0
138,16,220.0,29.5
138,17,216.5,41.5
138,18,222.5,23.5
139,10,219.5,31.0
139,16,222.5,21.0
139,17,220.0,27.5
139,18,223.0,24.0
140,11,223.0,31.5
140,16,227.0,18.5
140,17,222.5,31.0
140,18,230.0,17.0
141,4,224.0,26.5
141,16,222.5,28.0
141,17,229.5,18.0
141,18,222.0,34.5
142,10,218.0,30.5
142,16,226.5,8.0
142,17,217.5,32.0
142,18,219.5,26.5
143,8,220.5,30.5
143,16,224.0,20.0
143,17,222.5,27.5
143,18,222.0,31.0
144,6,225.5,34.5
144,16,227.0,29.5
144,17,230.0,22.5
144,18,225.0,35.5
145,1,217.5,31.0
145,16,217.0,28.5
145,17,229.0,9.5
145,18,216.5,35.0
146,13,219.0,34.5
146,16,230.0,7.0
146,17,219.5,30.0
146,18,230.5,9.0
147,4,220.5,29.0
147,16,223.0,21.5
147,17,228.0,15.0
147,18,221.0,28.0
148,6,218.0,37.0
148,16,217.5,35.5
148,17,224.0,21.0
148,18,220.5,27.5
149,11,228.0,22.0
149,16,225.0,27.5
149,17,222.0,45.5
149,18,227.5,28.0
150,8,225.5,26.5
150,16,225.0,28.0
150,17,226.5,24.5
150,18,226.5,25.5
151,4,227.5,30.0
151,16,226.5,32.0
151,17,230.0,29.5
151,18,226.0,34.0
152,8,227.5,30.5
152,16,229.5,23.5
152,17,229.0,27.0
152,18,229.5,27.5
153,6,224.0,43.5
153,16,226.5,27.0
153,17,228.0,28.0
153,18,225.5,36.5
154,6,224.5,14.0
154,16,217.0,28.5
154,17,219.0,26.0
154,18,216.5,34.5
155,8,224.5,29.5
155,16,228.0,19.5
155,17,227.0,24.5
155,18,226.5,26.0
156,14,224.0,29.0
156,16,227.0,20.5
156,17,221.0,37.5
156,18,228.0,19.5
157,7,221.0,33.5
157,16,222.5,25.5
157,17,223.5,28.0
157,18,221.5,34.0
158,11,220.0,39.0
158,16,228.5,15.5
158,17,221.5,27.5
158,18,228.5,15.0
159,1,216.5,26.5
159,16,219.0,21.5
159,17,224.0,16.0
159,18,212.5,50.0
160,7,227.5,27.0
160,16,229.0,22.0
160,17,225.5,38.0
160,18,225.0,39.5
161,4,212.0,24.5
161,16,212.5,21.5
161,17,223.5,8.0
161,18,209.5,30.5
162,11,219.5,31.0
162,16,222.5,20.5
162,17,219.0,31.5
162,18,224.0,19.5
163,13,216.5,39.0
163,16,224.5,17.5
163,17,216.5,36.5
163,18,222.5,23.5
164,5,226.0,29.5
164,16,223.0,37.5
164,17,224.5,35.5
164,18,224.0,40.0
165,9,221.0,34.5
165,16,224.5,23.0
165,17,222.0,31.5
165,18,226.0,25.0
166,8,220.5,25.5
166,16,223.5,19.0
166,17,222.5,22.5
166,18,223.0,23.0
167,3,216.5,29.0
167,16,217.0,29.0
167,17,223.0,17.5
167,18,215.0,38.5
168,6,221.5,32.0
168,16,223.0,26.0
168,17,224.0,24.5
168,18,222.0,32.5
169,9,225.0,37.0
169,16,229.0,25.5
169,17,227.5,30.5
169,18,230.0,27.5
170,11,218.5,32.5
170,16,223.5,16.0
170,17,218.0,31.0
170,18,226.5,15.5
171,6,222.0,40.0
171,16,224.5,27.0
171,17,224.0,31.0
171,18,222.0,42.5
172,6,220.0,28.0
172,16,221.0,24.5
172,17,223.0,22.5
172,18,220.0,29.5
173,6,224.0,33.5
173,16,225.0,26.0
173,17,228.0,24.5
173,18,225.0,29.5
174,5,222.0,27.5
174,16,221.0,28.0
174,17,226.0,19.5
174,18,222.0,28.5
175,8,219.5,26.5
175,16,221.0,24.0
175,17,225.0,16.5
175,18,222.0,22.5
176,7,226.5,30.0
176,16,228.5,23.0
176,17,228.0,27.5
176,18,227.0,31.0
177,10,226.0,29.0
177,16,226.5,26.5
177,17,224.0,31.5
177,18,228.0,24.0
178,12,217.0,27.0
178,16,221.0,16.5
178,17,216.0,32.5
178,18,226.5,11.0
179,6,228.5,14.5
179,16,222.5,26.0
179,17,223.0,29.5
179,18,220.5,37.5
180,9,223.5,17.5
180,16,222.0,24.0
180,17,219.5,34.0
180,18,223.5,22.5
181,6,220.5,36.0
181,16,226.0,17.0
181,17,221.5,31.5
181,18,221.5,34.5
182,6,227.5,24.0
182,16,223.0,40.0
182,17,230.0,20.5
182,18,227.5,24.0
183,4,215.0,30.5
183,16,213.0,31.5
183,17,226.0,8.5
183,18,212.5,40.5
184,2,224.5,21.5
184,16,221.5,27.5
184,17,226.0,21.0
184,18,221.5,33.0
185,12,214.5,29.0
185,16,223.5,10.5
185,17,214.0,33.0
185,18,220.0,23.0
186,12,217.0,26.5
186,16,221.0,18.0
186,17,214.0,36.5
186,18,222.5,19.0
187,10,225.0,25.5
187,16,228.5,18.0
187,17,223.5,27.5
187,18,227.0,21.5
188,4,221.0,20.5
188,16,217.0,29.0
188,17,225.5,13.0
188,18,216.5,33.5
189,4,220.0,31.0
189,16,221.5,23.5
189,17,226.5,19.0
189,18,218.5,32.0
190,12,219.5,34.0
190,16,222.5,26.5
190,17,218.5,37.0
190,18,223.0,26.5
191,8,220.5,30.0
191,16,224.0,22.5
191,17,222.0,26.5
